s_name,scheme_code,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100114,2023-10-31T00:00:00.000Z,616524,1.45
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132500,2023-10-31T00:00:00.000Z,185429,1.42
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132187,2023-10-31T00:00:00.000Z,1330106,1.42
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,131344,2023-10-31T00:00:00.000Z,2726849,1.39
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100413,2023-10-31T00:00:00.000Z,13482597,1.35
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132538,2023-10-31T00:00:00.000Z,212449,1.32
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,278580,2023-10-31T00:00:00.000Z,21397336,1.31
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100660,2023-10-31T00:00:00.000Z,1218872,1.28
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100570,2023-10-31T00:00:00.000Z,2676335,1.24
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132835,2023-10-31T00:00:00.000Z,284810,1.15
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100470,2023-10-31T00:00:00.000Z,12551780,1.10
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100087,2023-10-31T00:00:00.000Z,1205016,1.07
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100696,2023-10-31T00:00:00.000Z,568094,1.04
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,222055,2023-10-31T00:00:00.000Z,565491,1.03
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132541,2023-10-31T00:00:00.000Z,276335,1.02
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,103100,2023-10-31T00:00:00.000Z,742409,1.00
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,217389,2023-10-31T00:00:00.000Z,2140780,0.98
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100680,2023-10-31T00:00:00.000Z,334874,0.97
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,123398,2023-10-31T00:00:00.000Z,1186718,0.95
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132432,2023-10-31T00:00:00.000Z,1124418,0.86
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132555,2023-10-31T00:00:00.000Z,4871553,0.85
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132504,2023-10-31T00:00:00.000Z,305745,0.78
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100096,2023-10-31T00:00:00.000Z,1931545,0.75
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100040,2023-10-31T00:00:00.000Z,894945,0.72
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,302988,2023-10-31T00:00:00.000Z,6559758,0.68
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,217400,2023-10-31T00:00:00.000Z,1569000,0.67
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,208045,2023-10-31T00:00:00.000Z,4826248,0.64
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100825,2023-10-31T00:00:00.000Z,194863,0.64
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,215367,2023-10-31T00:00:00.000Z,1704515,0.63
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,111243,2023-10-31T00:00:00.000Z,676998,0.57
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100530,2023-10-31T00:00:00.000Z,37790,0.54
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100469,2023-10-31T00:00:00.000Z,5122636,0.53
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,117334,2023-10-31T00:00:00.000Z,7308983,0.50
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,279527,2023-10-31T00:00:00.000Z,2835447,0.45
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,296214,2023-10-31T00:00:00.000Z,5028493,0.41
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,214179,2023-10-31T00:00:00.000Z,817305,0.33
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,254493,2023-10-31T00:00:00.000Z,631478,0.33
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,252306,2023-10-31T00:00:00.000Z,4095546,0.32
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,120056,2023-10-31T00:00:00.000Z,999598,2.19
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132523,2023-10-31T00:00:00.000Z,1749399,0.28
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100387,2023-10-31T00:00:00.000Z,14508,0.27
